year,postcode,total_population,median_total_personal_income_weekly,median_total_family_income_weekly,labor_force
2011,2000,22760,578,1623,5506
2011,2006,1156,192,2562,435
2011,2007,7111,487,1555,1824
2011,2008,6294,698,1977,1322
2011,2009,11619,1095,2525,1962
2011,2010,25403,1038,2545,4152
2011,2011,18038,1105,2494,3021
2011,2015,8429,1135,2469,1012
2011,2016,12035,810,2141,2708
2011,2017,14468,690,1836,3937
2011,2018,15398,532,1362,4322
2011,2019,8901,698,1905,2012
2011,2020,10180,677,1652,2453
2011,2021,14238,1204,2868,2344
2011,2022,11595,924,2456,2439
2011,2023,10766,1102,2856,2363
2011,2024,11077,970,2620,2296
2011,2025,7180,1144,2781,1733
2011,2026,30396,1018,2436,4822
2011,2027,7305,1292,2929,1844
2011,2028,4687,1135,2756,1055
2011,2029,9402,961,2515,2137
2011,2030,13913,934,2734,3521
2011,2031,32320,935,2415,6691
2011,2032,15265,455,1578,5244
2011,2033,10964,646,1968,3171
2011,2034,19093,1001,2467,3910
2011,2035,33234,659,1874,9163
2011,2036,26895,563,1585,8482
2011,2037,13841,788,2307,3254
2011,2038,8669,1068,2739,1466
2011,2039,7919,1276,2921,1150
2011,2040,20864,926,2490,4078
2011,2041,14752,1242,2907,2768
2011,2042,17721,925,2324,2851
2011,2043,6848,1196,2692,838
2011,2044,7190,757,1877,1459
2011,2045,6650,656,2111,1836
2011,2046,25179,806,2199,6270
2011,2047,11379,1032,2616,2454
2011,2048,7702,889,2301,1473
2011,2049,10454,842,2241,2040
2011,2050,6703,1124,2573,989
2011,2052,1811,113,841,1079
2011,2060,12267,1212,2744,2412
2011,2061,5680,1311,2888,1295
2011,2062,6784,1187,2748,1142
2011,2063,5932,1041,2836,1418
2011,2064,8643,936,2400,1831
2011,2065,27176,1153,2714,4938
2011,2066,27624,945,2614,6232
2011,2067,22623,682,1924,6368
2011,2068,15871,898,2659,3791
2011,2069,13281,875,2740,3463
2011,2070,12278,868,2749,3356
2011,2071,12160,798,2677,3691
2011,2072,6592,752,2544,2013
2011,2073,15736,852,2748,4105
2011,2074,20944,777,2608,6388
2011,2075,18645,784,2643,5399
2011,2076,23774,753,2556,6626
2011,2077,34899,679,1821,8253
2011,2079,7105,710,2192,1435
2011,2080,1573,689,2031,343
2011,2081,5167,719,2142,1023
2011,2082,5653,722,2001,1132
2011,2083,1545,667,1750,388
2011,2084,3534,724,2194,800
2011,2085,10708,687,2238,3140
2011,2086,13192,734,2303,3048
2011,2087,12288,695,2274,3371
2011,2088,27453,1117,2838,6781
2011,2089,11083,1232,2746,1867
2011,2090,13025,1203,2779,2471
2011,2092,6726,855,2687,1590
2011,2093,21612,841,2497,4804
2011,2094,5489,1063,2627,1086
2011,2095,15072,1069,2659,3027
2011,2096,13875,950,2414,2466
2011,2097,14388,792,2127,3043
2011,2099,36686,713,1834,8170
2011,2100,19443,670,2041,4699
2011,2101,17981,743,1973,4504
2011,2102,6146,767,2122,1251
2011,2103,10166,719,2021,2692
2011,2104,3093,721,2265,1203
2011,2105,1834,913,2297,471
2011,2106,9037,787,2190,1945
2011,2107,14465,760,2186,3653
2011,2108,1899,863,2288,591
2011,2109,1788,222,844,852
2011,2110,9805,802,2763,3249
2011,2111,13424,805,2278,3317
2011,2112,27772,649,1834,7329
2011,2113,16799,653,1920,4641
2011,2114,21478,700,1824,5136
2011,2115,9470,511,1552,2859
2011,2116,6216,550,1485,1718
2011,2117,19018,562,1637,5467
2011,2118,21571,586,1709,6232
2011,2119,10902,801,2685,3045
2011,2120,19625,719,2294,4929
2011,2121,24619,653,2007,6997
2011,2122,28543,538,1682,9152
2011,2125,15968,744,2574,4030
2011,2126,18778,682,2424,4714
2011,2127,8145,1017,2290,1279
2011,2128,3162,605,1333,1794
2011,2129,4,1375,0,0
2011,2130,6587,822,2108,1326
2011,2131,22189,575,1458,5991
2011,2132,10381,575,1798,2882
2011,2133,10742,559,1512,2849
2011,2134,12466,437,1302,3999
2011,2135,23096,546,1671,6661
2011,2136,6720,550,1577,1821
2011,2137,24017,732,2093,6009
2011,2138,13521,705,1912,3352
2011,2139,55,383,0,33
2011,2140,12513,586,1425,2857
2011,2141,25478,424,1181,7850
2011,2142,22524,426,1128,6433
2011,2143,7461,410,1139,2376
2011,2144,33122,352,957,11123
2011,2145,71311,573,1520,19003
2011,2146,15686,613,1594,3895
2011,2147,35073,581,1584,9129
2011,2148,58670,532,1343,15692
2011,2150,24813,596,1314,5808
2011,2151,20221,635,1714,5690
2011,2152,10224,702,1747,2660
2011,2153,52453,708,2077,12172
2011,2154,37916,721,2287,9446
2011,2155,44028,812,2334,7177
2011,2156,12348,709,2333,2970
2011,2157,3711,621,1722,848
2011,2158,8289,680,2245,2148
2011,2159,4550,658,2044,1173
2011,2160,32846,426,1142,10100
2011,2161,28268,386,1090,9494
2011,2162,16986,386,1102,5982
2011,2163,8752,331,833,3763
2011,2164,18364,406,1203,6201
2011,2165,39515,346,954,15462
2011,2166,49724,335,876,18142
2011,2167,7558,611,1563,1764
2011,2168,41912,392,1154,13034
2011,2170,95041,481,1291,27713
2011,2171,24392,640,1755,4924
2011,2172,2261,839,2408,374
2011,2173,13258,832,2025,2108
2011,2174,424,510,1222,126
2011,2175,1936,525,1472,530
2011,2176,46063,434,1363,14485
2011,2177,15189,375,1211,4934
2011,2178,4823,573,1558,1123
2011,2179,5404,425,1241,1650
2011,2190,24709,362,1079,8574
2011,2191,6043,474,1311,1888
2011,2192,12574,413,1088,3974
2011,2193,13988,571,1581,3766
2011,2194,21219,389,974,6666
2011,2195,25208,362,897,7558
2011,2196,29596,386,1114,9493
2011,2197,8175,395,1217,2735
2011,2198,8670,518,1432,2684
2011,2199,16004,386,1118,5397
2011,2200,40612,383,1036,12699
2011,2203,12982,767,1826,2664
2011,2204,24614,617,1612,6443
2011,2205,12846,553,1483,3503
2011,2206,18317,539,1551,5669
2011,2207,27536,537,1496,8077
2011,2208,11516,504,1428,3664
2011,2209,14617,496,1385,4484
2011,2210,28012,500,1448,9070
2011,2211,16210,558,1545,4809
2011,2212,14297,517,1453,4136
2011,2213,20377,601,1734,5490
2011,2214,3844,637,1790,956
2011,2216,26062,555,1367,6829
