state,postcode,individuals_2003-04,median_taxable_income_2003-04,average_taxable_income_2003-04,individuals_2013-14,median_taxable_income_2013-14,average_taxable_income_2013-14,individuals_2014-15,median_taxable_income_2014-15,average_taxable_income_2014-15,individuals_2015-16,median_taxable_income_2015-16,average_taxable_income_2015-16,individuals_2016-17,median_taxable_income_2016-17,average_taxable_income_2016-17,individuals_2017-18,median_taxable_income_2017-18,average_taxable_income_2017-18,individuals_2018-19,median_taxable_income_2018-19,average_taxable_income_2018-19,individuals_2019-20,median_taxable_income_2019-20,average_taxable_income_2019-20
ACT,2600,5692,42327,55819,5712,66815,94265,5592,68327,101142,5581,72047,102063,5646,72304,102131,5962,73941,107634,5953,76177,112280,5945,78636,119465
ACT,2601,1833,35584,47294,2777,46880,66876,2792,48061,65023,2658,49645,68957,2820,46378,64948,2810,42957,64939,3083,39781,64871,3159,45914,67940
ACT,2602,17431,35997,41004,19072,57584,68424,19096,57245,68256,19457,58742,70885,19924,58469,71274,20613,59921,72821,21263,62841,75693,22009,64315,79393
ACT,2603,5973,45229,62762,6210,70655,116150,6305,72177,112012,6478,73564,122886,6650,73838,110394,6850,75869,115723,6978,79369,119441,7165,81877,126534
ACT,2604,6053,41732,49505,7205,67865,81898,7464,69440,83477,7387,72034,86280,7984,71683,87389,8265,74523,90095,8478,76609,91603,8617,77737,95374
ACT,2605,7872,40527,48350,7433,59671,78479,7384,62166,80446,7437,64447,85548,7574,65270,85567,7699,66332,89276,7830,69194,91007,7973,70817,93937
ACT,2606,5261,37552,44135,5902,55252,68359,6119,56695,68323,6312,56617,70222,6550,57687,70051,7055,59044,72332,7248,62795,75418,7851,63845,78499
ACT,2607,9348,37978,45496,9244,54755,69960,9132,54490,70360,9224,56774,76151,9403,57790,73301,9527,59797,75608,9624,63153,80761,9827,64183,81882
ACT,2609,629,31455,41182,597,46296,66034,629,47552,61817,561,47062,63438,608,49900,64339,586,53071,74737,592,53554,70769,599,51865,68496
ACT,2611,15713,37385,42127,15452,56898,67428,16330,59031,68302,17714,61002,70543,18721,61208,71177,19703,63487,73202,20726,66321,76240,21807,68112,78780
ACT,2612,7018,36183,44279,9514,59011,70468,9728,59796,72772,10180,60425,74512,10631,61229,75381,10926,64404,78786,11456,67915,82788,12569,69155,83268
ACT,2614,13168,37098,42507,12156,54246,67137,12212,54720,66419,12324,55315,67911,12586,54889,68119,12843,56132,69983,13123,58235,71345,13381,60024,74845
ACT,2615,26277,34492,37276,27050,52904,58699,26897,53120,59089,27270,54745,60995,27635,55725,61351,28142,56842,62606,28646,58849,65140,29416,60794,67505
ACT,2617,17113,35104,38909,19597,51602,60470,19761,51847,60255,20445,52603,61766,21761,52615,62144,22914,53502,62638,23649,55041,64845,24474,55695,66027
ACT,2900,726,37525,39434,1199,54847,60724,1174,56535,62703,1274,59024,67532,1406,60837,68330,2034,58778,66211,2162,61858,68147,2405,61553,69255
ACT,2902,11014,35260,39987,9605,53461,61344,9284,53911,62305,9314,54590,64308,9527,54492,63729,9704,55693,64601,9902,57101,67072,9940,59627,70111
ACT,2903,6834,35408,38971,5998,52957,60666,5949,53211,60556,5912,55231,62808,6051,54991,62870,6109,56840,65123,6184,58664,67501,6230,60956,69646
ACT,2904,9555,37344,41822,8770,56291,65285,8574,57381,66650,8647,58445,68642,8714,58525,68536,8758,59877,70224,8756,62230,72502,8762,64329,74719
ACT,2905,18099,35466,38225,18004,54702,60141,18039,54274,60258,18219,55974,62188,18572,56379,62840,18773,57975,64311,18954,60274,66525,18840,61752,68266
ACT,2906,10139,37025,38895,10895,56421,61447,11021,56430,61792,11137,57243,63630,11327,57570,63503,11581,59125,65176,11760,62040,67937,11768,64057,70217
ACT,2911,,,,,,,2724,61148,66445,2900,64660,70942,3012,65215,71410,3104,65873,74017,3096,69499,76268,3134,70217,78600
ACT,2912,1364,40467,42325,3782,52737,58286,3703,52349,58678,3815,51938,60562,3947,50692,60275,4543,49473,58829,4930,51414,59959,5314,51502,61115
ACT,2913,13646,37602,41458,19057,57317,64201,20718,57095,63791,21950,57973,65549,22836,58471,66052,23539,58791,66958,24428,60816,68828,25220,61918,70348
